TermBits,InChannels,ClassCount,WeightBits,DSPCount,LUT4,FF
1,20,9,2,0,2059,67
1,20,10,2,0,2275,67
1,20,11,2,0,2500,67
1,20,12,2,0,2716,67
1,20,13,2,0,2952,67
1,20,14,2,0,3168,67
1,20,15,2,0,3398,67
1,20,16,2,0,3615,67
1,20,17,2,0,3844,67
1,20,18,2,0,4059,67
1,20,19,2,0,4285,67
1,20,20,2,0,4501,67
1,20,21,2,0,4726,67
1,20,22,2,0,4943,67
1,20,23,2,0,5167,67
1,20,24,2,0,5384,67
1,21,1,2,0,266,70
1,21,2,2,0,491,70
1,21,3,2,0,718,70
1,21,4,2,0,935,70
1,21,5,2,0,1163,70
1,21,6,2,0,1377,70
1,21,7,2,0,1607,70
1,21,8,2,0,1824,70
1,21,9,2,0,2052,70
1,21,10,2,0,2277,70
1,21,11,2,0,2491,70
1,21,12,2,0,2718,70
1,21,13,2,0,2954,70
1,21,14,2,0,3156,70
1,21,15,2,0,3385,70
1,21,16,2,0,3601,70
1,21,17,2,0,3829,70
1,21,18,2,0,4061,70
1,21,19,2,0,4287,70
1,21,20,2,0,4483,70
1,21,21,2,0,4707,70
1,21,22,2,0,4923,70
1,21,23,2,0,5146,70
1,21,24,2,0,5386,70
1,22,1,2,0,287,73
1,22,2,2,0,534,73
1,22,3,2,0,782,73
1,22,4,2,0,1020,73
1,22,5,2,0,1269,73
1,22,6,2,0,1504,73
1,22,7,2,0,1755,73
1,22,8,2,0,1993,73
1,22,9,2,0,2242,73
1,22,10,2,0,2478,73
1,22,11,2,0,2723,73
1,22,12,2,0,2959,73
1,22,13,2,0,3215,73
1,22,14,2,0,3451,73
1,22,15,2,0,3701,73
1,22,16,2,0,3938,73
1,22,17,2,0,4187,73
1,22,18,2,0,4422,73
1,22,19,2,0,4668,73
1,22,20,2,0,4904,73
1,22,21,2,0,5149,73
1,22,22,2,0,5386,73
1,23,1,2,0,305,76
1,23,2,2,0,568,76
1,23,3,2,0,832,76
1,23,4,2,0,1086,76
1,23,5,2,0,1351,76
1,23,6,2,0,1602,76
1,23,7,2,0,1869,76
1,23,8,2,0,2123,76
1,23,9,2,0,2388,76
1,23,10,2,0,2640,76
1,23,11,2,0,2901,76
1,23,12,2,0,3153,76
1,23,13,2,0,3425,76
1,23,14,2,0,3677,76
1,23,15,2,0,3943,76
1,23,16,2,0,4196,76
1,23,17,2,0,4461,76
1,23,18,2,0,4712,76
