TermBits,InChannels,ClassCount,WeightBits,DSPCount,LC,FF,LC_dsp0
2,27,4,7,1,375,253,6770
2,27,4,7,2,449,279,6770
2,27,4,7,4,613,339,6770
2,29,3,7,0,5525,152,5525
2,29,3,7,1,359,250,5525
2,29,3,7,3,503,309,5525
2,1,1,8,0,67,12,67
2,1,1,8,1,85,68,67
2,1,30,8,0,1969,12,1969
2,1,30,8,1,1116,373,1969
2,1,30,8,2,1413,398,1969
2,1,30,8,3,1740,430,1969
2,1,30,8,5,2387,480,1969
2,1,30,8,6,2648,506,1969
2,2,25,8,0,3240,17,3240
2,2,25,8,1,896,355,3240
2,2,25,8,5,1928,467,3240
2,2,30,8,0,3875,17,3875
2,2,30,8,1,1047,410,3875
2,2,30,8,2,1483,436,3875
2,2,30,8,3,1649,470,3875
2,2,30,8,5,2163,522,3875
2,2,30,8,6,2498,549,3875
2,3,26,8,0,5130,22,5130
2,3,26,8,1,942,373,5130
2,3,26,8,2,1296,399,5130
2,5,4,8,0,1346,32,1346
2,5,4,8,1,254,136,1346
2,5,4,8,2,330,163,1346
2,5,4,8,4,474,223,1346
2,10,1,8,0,707,57,707
2,10,1,8,1,157,124,707
2,18,2,8,0,2574,97,2574
2,18,2,8,1,250,183,2574
2,18,2,8,2,300,212,2574
2,21,3,8,0,4520,112,4520
2,21,3,8,1,324,215,4520
2,21,3,8,3,496,281,4520
2,27,3,8,0,5747,142,5747
2,27,3,8,1,357,246,5747
2,27,3,8,3,502,311,5747
2,30,3,8,0,6413,157,6413
2,30,3,8,1,362,261,6413
2,30,3,8,3,504,326,6413
2,32,3,8,0,7048,167,7048
2,32,3,8,1,369,275,7048
2,32,3,8,3,531,342,7048
3,1,1,2,0,36,14,36
3,1,1,2,1,80,57,36
3,3,23,2,0,1654,28,1654
3,3,23,2,1,725,287,1654
3,8,22,2,0,4349,63,4349
3,8,22,2,1,746,315,4349
3,8,22,2,2,1023,327,4349
3,10,2,2,0,579,77,579
3,10,2,2,1,232,135,579
3,10,2,2,2,262,147,579
3,12,18,2,0,5409,91,5409
3,12,18,2,1,713,308,5409
3,12,18,2,2,895,320,5409
3,12,18,2,3,1007,333,5409
3,12,18,2,6,1439,371,5409
3,15,7,2,0,2719,112,2719
3,15,7,2,1,461,223,2719
3,15,7,2,7,832,298,2719
3,18,7,2,0,3261,133,3261
3,18,7,2,1,485,245,3261
3,18,7,2,7,863,321,3261
3,19,2,2,0,1109,140,1109
3,19,2,2,1,342,200,1109
3,19,2,2,2,373,212,1109
3,20,4,2,0,2183,147,2183
3,20,4,2,1,416,229,2183
3,20,4,2,2,460,241,2183
3,20,4,2,4,564,266,2183
3,23,8,2,0,4884,168,4884
3,23,8,2,1,580,290,4884
3,23,8,2,2,636,302,4884
3,23,8,2,4,783,327,4884
3,23,8,2,8,1051,378,4884
3,24,6,2,0,3799,175,3799
3,24,6,2,1,533,279,3799
3,24,6,2,2,586,291,3799
3,24,6,2,3,654,303,3799
3,24,6,2,6,845,341,3799
3,32,7,2,0,5953,231,5953
3,32,7,2,1,716,352,5953
3,32,7,2,7,1273,433,5953
3,1,1,3,0,48,14,48
3,1,1,3,1,81,59,48
