InBits,InChannels,PoolMode,LUT4,FF
2,25,1,352,325
2,26,1,364,337
2,27,1,376,349
2,28,1,389,361
2,29,1,400,373
2,30,1,413,385
2,31,1,425,397
2,32,1,436,409
3,1,1,70,43
3,2,1,88,61
3,3,1,107,79
3,4,1,125,97
3,5,1,143,115
3,6,1,161,133
3,7,1,179,151
3,8,1,197,169
3,9,1,215,187
3,10,1,233,205
3,11,1,250,223
3,12,1,269,241
3,13,1,287,259
3,14,1,305,277
3,15,1,323,295
3,16,1,341,313
3,17,1,359,331
3,18,1,376,349
3,19,1,395,367
3,20,1,413,385
3,21,1,431,403
3,22,1,448,421
3,23,1,467,439
3,24,1,485,457
3,25,1,503,475
3,26,1,520,493
3,27,1,539,511
3,28,1,557,529
3,29,1,575,547
3,30,1,593,565
3,31,1,610,583
3,32,1,628,601
4,1,1,76,49
4,2,1,100,73
4,3,1,125,97
4,4,1,149,121
4,5,1,172,145
4,6,1,197,169
4,7,1,221,193
4,8,1,244,217
4,9,1,269,241
4,10,1,293,265
4,11,1,316,289
4,12,1,341,313
4,13,1,364,337
4,14,1,389,361
4,15,1,413,385
4,16,1,436,409
4,17,1,461,433
4,18,1,485,457
4,19,1,508,481
4,20,1,533,505
4,21,1,557,529
4,22,1,580,553
4,23,1,605,577
4,24,1,628,601
4,25,1,653,625
4,26,1,677,649
4,27,1,701,673
4,28,1,724,697
4,29,1,748,721
4,30,1,773,745
4,31,1,796,769
4,32,1,820,793
5,1,1,81,55
5,2,1,112,85
5,3,1,143,115
5,4,1,172,145
5,5,1,203,175
5,6,1,233,205
5,7,1,263,235
5,8,1,293,265
5,9,1,323,295
5,10,1,352,325
5,11,1,383,355
5,12,1,413,385
5,13,1,442,415
5,14,1,473,445
5,15,1,503,475
5,16,1,533,505
5,17,1,563,535
5,18,1,593,565
5,19,1,623,595
5,20,1,653,625
5,21,1,683,655
5,22,1,713,685
5,23,1,743,715
5,24,1,773,745
5,25,1,803,775
5,26,1,832,805
5,27,1,863,835
5,28,1,892,865
5,29,1,922,895
5,30,1,953,925
5,31,1,983,955
5,32,1,1012,985
6,1,1,88,61
6,2,1,125,97
6,3,1,161,133
6,4,1,197,169
6,5,1,233,205
6,6,1,269,241
6,7,1,305,277
6,8,1,341,313
6,9,1,376,349
6,10,1,413,385
6,11,1,449,421
6,12,1,485,457
6,13,1,520,493
6,14,1,557,529
6,15,1,593,565
6,16,1,628,601
6,17,1,665,637
6,18,1,701,673
6,19,1,737,709
6,20,1,773,745
6,21,1,809,781
6,22,1,845,817
6,23,1,880,853
6,24,1,916,889
6,25,1,953,925
6,26,1,988,961
6,27,1,1025,997
6,28,1,1061,1033
6,29,1,1097,1069
6,30,1,1133,1105
6,31,1,1168,1141
6,32,1,1205,1177
7,1,1,94,67
7,2,1,137,109
7,3,1,179,151
7,4,1,221,193
7,5,1,263,235
7,6,1,305,277
7,7,1,347,319
7,8,1,389,361
7,9,1,431,403
7,10,1,473,445
7,11,1,515,487
7,12,1,557,529
7,13,1,598,571
7,14,1,641,613
7,15,1,683,655
7,16,1,724,697
7,17,1,767,739
7,18,1,809,781
7,19,1,851,823
7,20,1,893,865
7,21,1,934,907
7,22,1,977,949
7,23,1,1019,991
7,24,1,1061,1033
7,25,1,1102,1075
7,26,1,1145,1117
7,27,1,1187,1159
7,28,1,1229,1201
7,29,1,1271,1243
7,30,1,1313,1285
7,31,1,1354,1327
7,32,1,1397,1369
8,1,1,100,73
8,2,1,149,121
8,3,1,197,169
8,4,1,244,217
8,5,1,293,265
8,6,1,341,313
8,7,1,389,361
8,8,1,436,409
8,9,1,485,457
8,10,1,533,505
8,11,1,580,553
8,12,1,628,601
8,13,1,677,649
8,14,1,724,697
8,15,1,773,745
8,16,1,820,793
8,17,1,869,841
8,18,1,916,889
8,19,1,964,937
8,20,1,1013,985
8,21,1,1061,1033
8,22,1,1109,1081
8,23,1,1157,1129
8,24,1,1205,1177
8,25,1,1253,1225
8,26,1,1301,1273
8,27,1,1348,1321
8,28,1,1397,1369
8,29,1,1444,1417
8,30,1,1492,1465
8,31,1,1541,1513
8,32,1,1589,1561
9,1,1,107,79
9,2,1,161,133
9,3,1,215,187
9,4,1,269,241
9,5,1,323,295
9,6,1,376,349
9,7,1,431,403
9,8,1,485,457
9,9,1,539,511
9,10,1,593,565
9,11,1,646,619
9,12,1,701,673
9,13,1,755,727
9,14,1,809,781
9,15,1,863,835
9,16,1,917,889
9,17,1,970,943
9,18,1,1025,997
9,19,1,1079,1051
9,20,1,1132,1105
9,21,1,1187,1159
9,22,1,1241,1213
9,23,1,1294,1267
9,24,1,1349,1321
9,25,1,1403,1375
9,26,1,1457,1429
9,27,1,1511,1483
9,28,1,1565,1537
9,29,1,1618,1591
9,30,1,1672,1645
9,31,1,1726,1699
9,32,1,1780,1753
10,1,1,113,85
10,2,1,172,145
10,3,1,233,205
10,4,1,293,265
10,5,1,352,325
10,6,1,413,385
10,7,1,473,445
10,8,1,533,505
10,9,1,593,565
10,10,1,653,625
10,11,1,713,685
10,12,1,773,745
10,13,1,832,805
10,14,1,892,865
10,15,1,953,925
10,16,1,1013,985
10,17,1,1072,1045
10,18,1,1132,1105
10,19,1,1193,1165
10,20,1,1253,1225
10,21,1,1313,1285
10,22,1,1373,1345
10,23,1,1433,1405
10,24,1,1493,1465
10,25,1,1553,1525
10,26,1,1613,1585
10,27,1,1672,1645
10,28,1,1733,1705
10,29,1,1793,1765
10,30,1,1853,1825
10,31,1,1912,1885
10,32,1,1973,1945
11,1,1,119,91
11,2,1,184,157
11,3,1,250,223
11,4,1,316,289
11,5,1,383,355
11,6,1,448,421
11,7,1,515,487
11,8,1,580,553
11,9,1,646,619
11,10,1,713,685
11,11,1,779,751
11,12,1,845,817
11,13,1,910,883
11,14,1,977,949
11,15,1,1042,1015
11,16,1,1108,1081
11,17,1,1174,1147
11,18,1,1241,1213
11,19,1,1307,1279
11,20,1,1373,1345
11,21,1,1439,1411
11,22,1,1504,1477
11,23,1,1571,1543
11,24,1,1636,1609
11,25,1,1702,1675
11,26,1,1769,1741
11,27,1,1835,1807
11,28,1,1901,1873
11,29,1,1967,1939
11,30,1,2032,2005
11,31,1,2099,2071
11,32,1,2164,2137
12,1,1,125,97
12,2,1,197,169
12,3,1,269,241
12,4,1,341,313
12,5,1,413,385
12,6,1,485,457
12,7,1,557,529
12,8,1,628,601
12,9,1,701,673
12,10,1,773,745
12,11,1,845,817
12,12,1,917,889
12,13,1,989,961
12,14,1,1061,1033
12,15,1,1132,1105
12,16,1,1204,1177
12,17,1,1277,1249
12,18,1,1348,1321
12,19,1,1421,1393
12,20,1,1492,1465
12,21,1,1564,1537
12,22,1,1637,1609
12,23,1,1708,1681
12,24,1,1780,1753
12,25,1,1852,1825
12,26,1,1925,1897
12,27,1,1997,1969
12,28,1,2069,2041
12,29,1,2141,2113
12,30,1,2213,2185
12,31,1,2284,2257
12,32,1,2356,2329
13,1,1,130,103
13,2,1,209,181
13,3,1,287,259
13,4,1,364,337
13,5,1,442,415
13,6,1,520,493
13,7,1,598,571
13,8,1,677,649
13,9,1,755,727
13,10,1,833,805
13,11,1,911,883
13,12,1,989,961
13,13,1,1066,1039
13,14,1,1145,1117
13,15,1,1223,1195
13,16,1,1301,1273
13,17,1,1379,1351
13,18,1,1456,1429
13,19,1,1534,1507
13,20,1,1613,1585
13,21,1,1690,1663
13,22,1,1769,1741
13,23,1,1846,1819
13,24,1,1925,1897
13,25,1,2003,1975
13,26,1,2081,2053
13,27,1,2159,2131
13,28,1,2237,2209
13,29,1,2315,2287
13,30,1,2392,2365
13,31,1,2470,2443
13,32,1,2549,2521
14,1,1,137,109
14,2,1,221,193
14,3,1,305,277
14,4,1,389,361
14,5,1,473,445
14,6,1,557,529
14,7,1,640,613
14,8,1,724,697
14,9,1,808,781
14,10,1,893,865
14,11,1,977,949
